DATE,TIME,SECONDS,NANOSECONDS,VELOCITY,U,V,W,BCH4,BRSSI,TCH4,TRSSI,PRESS_MBAR,INLET,TEMPC,CH4,H20,C2H6,R,C2C1,BATTV,POWMV,CURRMA,SOCPER,LAT,LONG,bearing,U_cor,horz_length,adj_theta,totalWind,phi,raw_CH4,distance,odometer
2020-05-10,21:45:56,1589168756,641000000,11.805655218089738,0,0,0,1.99785,0,1.99785,0,239.993,0,31.2466,1.99785,7187.86,11.687999999999999,0.306377,-1.0,11842,13369,742,66,40.588111877399996,-105.0789337158,3.141592653589793,11.805655218089738,11.805655218089738,5.692856871978055,11.805655218089738,1.4862928773885495,1.99785,24.177980220352758,90169.66877450919
2020-05-10,21:45:57,1589168757,665000000,11.80564978855269,0,0,0,1.99647,0,1.99647,0,239.995,0,31.2472,1.99647,7196.68,11.9574,0.34473000000000004,-1.0,11813,13416,728,66,40.5880050659,-105.0789337158,3.141592653589793,11.80564978855269,11.80564978855269,5.692856987996313,11.80564978855269,1.4862928387093137,1.99647,24.177969100661652,90193.84674360986
2020-05-10,21:45:58,1589168758,689000000,11.602796684071176,0,0,0,2.00869,0,2.00869,0,239.989,0,31.2481,2.00869,7194.25,12.5952,0.64373,-1.0,11813,13416,728,66,40.5878944397,-105.0789337158,3.1687078159389728,11.602796684071176,11.602796684071176,5.724385529570671,11.602796684071176,1.484822661264145,2.00869,23.76252873763727,90217.6092723475
2020-05-10,21:45:59,1589168759,713000000,11.20198494282572,0,0,0,2.0093799999999997,0,2.0093799999999997,0,239.993,0,31.2488,2.0093799999999997,7201.67,13.0345,0.776305,0.0830582,11868,13490,736,66,40.5877914429,-105.07894134520001,3.197786134823149,11.20198494282572,11.20198494282572,5.762677389390227,11.20198494282572,1.481762440094309,2.0093799999999997,22.941666252577697,90240.55093860008
2020-05-10,21:46:00,1589168760,737000000,10.99520252128884,0,0,0,2.0100599999999997,0,2.0100599999999997,0,240.025,0,31.2491,2.0100599999999997,7205.0,13.6755,0.839307,0.102181,11845,13465,747,66,40.587688446,-105.0789489746,3.1988441805000214,10.99520252128884,10.99520252128884,5.7687674574090995,10.99520252128884,1.4800970989810205,2.0100599999999997,22.518173211694894,90263.06911181177
2020-05-10,21:46:01,1589168761,761000000,10.581667451875505,0,0,0,2.0100599999999997,0,2.0100599999999997,0,239.983,0,31.2502,2.0100599999999997,7215.99,12.8457,0.8618399999999999,0.09891330000000001,11815,13433,741,66,40.5875892639,-105.078956604,3.201084260656134,10.581667451875505,10.581667451875505,5.781705399447873,10.581667451875505,1.4765730947417568,2.0100599999999997,21.67125597077041,90284.74036778254
2020-05-10,21:46:02,1589168762,785000000,9.754795614838955,0,0,0,2.01183,0,2.01183,0,239.99400000000003,0,31.2507,2.01183,7222.83,12.8986,0.873659,0.09602360000000001,11873,13445,740,66,40.5874938965,-105.0789642334,3.2061339265059323,9.754795614838955,9.754795614838955,5.811134568995524,9.754795614838955,1.4686395062206432,2.01183,19.97782236808578,90304.71819015063
2020-05-10,21:46:03,1589168763,809000000,8.72162444234486,0,0,0,2.00976,0,2.00976,0,239.987,0,31.2512,2.00976,7215.17,12.8788,0.887234,0.0975932,11811,13493,754,66,40.5874099731,-105.0789718628,3.213792236316757,8.72162444234486,8.72162444234486,5.856620036778109,8.72162444234486,1.4566373036141558,2.00976,17.86188562691907,90322.58007577754
2020-05-10,21:46:04,1589168764,833000000,7.689100196589511,0,0,0,2.00981,0,2.00981,0,240.01,0,31.2521,2.00981,7220.21,13.2672,0.90297,0.100414,11865,13457,736,66,40.5873336792,-105.07897949219999,3.2235080136181478,7.689100196589511,7.689100196589511,5.916043836299828,7.689100196589511,1.4414679950706164,2.00981,15.747277950570851,90338.32735372812
2020-05-10,21:46:05,1589168765,857000000,6.635194344542156,0,0,0,2.00507,0,2.00507,0,239.979,0,31.2525,2.00507,7225.21,13.2313,0.894322,0.10388199999999999,11859,13404,744,66,40.5872688293,-105.0789871216,3.1890206326014723,6.635194344542156,6.635194344542156,5.95155252192645,6.635194344542156,1.4212106220239673,2.00507,13.588878663059408,90351.91623239117
