nearest10hz,nearest10hz_x,bearing_north,bearing_east,latitude,longitude,velocity_ms,nearest10hz_y,wind_up,wind_right,windSpeed,timestamp,deviceTimestamp,devTimestamp,nearestMS,nearest10hz_x,aerisTrue,nearest10hz_y,P,T,CH4,H2O,C2H6,R,C1C2,batteryCharge,powerInput,current,SOC,aerisTimestamp,shiftCH4,shiftC2H6,bearing_rad,true_up,true_right,true_cor_right,true_cor_up,true_windspeed,true_wd_from0
1603489154.7,1603489154.7,-6.284001149085518e-18,-0.03420850895382345,40.546210200000004,-105.0361865,0.03420850895382345,,,,,,,,,,False,,,,,,,,,,,,,,,,-3.141592653589793,,,,,,
1603489154.9,1603489154.9,1.668976815569237e-18,0.027256459849995016,40.546210200000004,-105.03618645,0.027256459849995016,,,,,,,,,,False,,,,,,,,,,,,,,,,6.123233995736766e-17,,,,,,
1603489155.0,1603489155.0,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489155.1,1603489155.1,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489155.2,1603489155.2,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489155.3,1603489155.3,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489155.4,1603489155.4,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489155.5,1603489155.5,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489155.6,1603489155.6,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489155.7,1603489155.7,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489155.9,1603489155.9,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.0,1603489156.0,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.1,1603489156.1,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.2,1603489156.2,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.3,1603489156.3,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.4,1603489156.4,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.5,1603489156.5,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.6,1603489156.6,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.7,1603489156.7,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489156.9,1603489156.9,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
