nearest10hz,timestamp,deviceTimestamp,deviceID,sequenceID,windSpeed,windAngle,windReference,nearestMS,wind_up,wind_right
1601568820.3,1601568820.303679,1601568820.302206,35,64,5.7,4.2079,250,1601568820.304,-2.755152831340354,-4.989903092842308
1601568820.4,1601568820.4044368,1601568820.403678,35,65,5.4,4.2323,250,1601568820.404,-2.4940337338588763,-4.789550681888016
1601568820.5,1601568820.491376,1601568820.491376,35,66,5.24,4.2375,250,1601568820.491,-2.395936108826352,-4.660159885929027
1601568820.6,1601568820.602905,1601568820.6025221,35,67,4.98,4.255,250,1601568820.603,-2.1992027887174315,-4.468098823224199
1601568820.7,1601568820.703378,1601568820.702575,35,68,4.88,4.2463000000000015,250,1601568820.703,-2.1930519408488554,-4.359463634982986
1601568820.8,1601568820.8031142,1601568820.802273,35,69,4.68,4.248,250,1601568820.803,-2.0960623722273226,-4.184366443290163
1601568820.9,1601568820.901954,1601568820.901402,35,70,4.37,4.2742,250,1601568820.902,-1.8541920682742419,-3.9571292339205817
1601568821.0,1601568821.003216,1601568821.00253,35,71,4.26,4.3056,250,1601568821.003,-1.685521760675559,-3.9123671088343897
1601568821.1,1601568821.102783,1601568821.101792,35,72,4.0600000000000005,4.343999999999999,250,1601568821.103,-1.4620586407729506,-3.787609342440315
1601568821.2,1601568821.201516,1601568821.200766,35,73,4.01,4.3545,250,1601568821.202,-1.4046939905404754,-3.7559199662585296
1601568821.3,1601568821.3251462,1601568821.3229551,35,74,3.9,4.3580000000000005,250,1601568821.325,-1.3533677819570324,-3.6576489233879053
1601568821.4,1601568821.403084,1601568821.401958,35,75,3.8,4.3667,250,1601568821.403,-1.2876109219247995,-3.575200429869627
1601568821.5,1601568821.491666,1601568821.490849,35,76,3.7,4.3807,250,1601568821.492,-1.2048695258990885,-3.4983266607850827
1601568821.6,1601568821.5916119,1601568821.590815,35,77,3.7,4.3737,250,1601568821.592,-1.2293280933545512,-3.489806934328784
1601568821.7,1601568821.701314,1601568821.7005632,35,78,3.65,4.3824000000000005,250,1601568821.701,-1.1827190022366274,-3.453067587196694
1601568821.8,1601568821.798713,1601568821.798214,35,79,3.65,4.3597,250,1601568821.799,-1.2607921962838495,-3.425332544117395
1601568821.9,1601568821.908556,1601568821.908556,35,80,3.65,4.3335,250,1601568821.909,-1.3500929376684665,-3.391127992225851
1601568822.0,1601568822.006203,1601568822.006203,35,81,3.65,4.2986,250,1601568822.006,-1.4675971508409686,-3.3419543089102026
1601568822.1,1601568822.104675,1601568822.1039028,35,82,3.85,4.2463000000000015,250,1601568822.105,-1.7301741746451011,-3.4393309415337083
1601568822.2,1601568822.191451,1601568822.191451,35,83,4.0600000000000005,4.2201,250,1601568822.191,-1.9189358421993379,-3.577888376336344
1601568822.3,1601568822.301613,1601568822.30072,35,84,4.32,4.1852,250,1601568822.302,-2.173417831359099,-3.7334508072733885
1601568822.4,1601568822.401753,1601568822.401313,35,85,4.62,4.1293000000000015,250,1601568822.402,-2.543795722940811,-3.8566181195378983
1601568822.5,1601568822.499792,1601568822.499792,35,86,4.78,4.1032,250,1601568822.5,-2.7351280511001055,-3.920137056798568
1601568822.6,1601568822.599427,1601568822.5984972,35,87,4.88,4.0857,250,1601568822.599,-2.8619547561276275,-3.952671877841424
1601568822.7,1601568822.708052,1601568822.707581,35,88,4.93,4.0822,250,1601568822.708,-2.905236422438492,-3.9830266544095316
