nearest10hz,timestamp,deviceTimestamp,deviceID,latitude,longitude,nearestMS,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_south
1601568760.3,1601568760.326396,1601568760.325402,16,40.5949615,-105.1400314,1601568760.326,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.224,1601568760.425,0.20099997520446777,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.4,1601568760.425219,1601568760.424162,16,40.5949615,-105.1400314,1601568760.425,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.326,1601568760.527,0.20099997520446777,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.5,1601568760.526761,1601568760.5240939,16,40.5949615,-105.1400314,1601568760.527,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.425,1601568760.682,0.2569999694824219,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.7,1601568760.704622,1601568760.701323,16,40.5949615,-105.1400314,1601568760.7045,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.6044998,1601568760.7765,0.17200005054473877,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.8,1601568760.825798,1601568760.8237948,16,40.5949615,-105.1400314,1601568760.826,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.727,1601568760.925,0.1979999542236328,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.9,1601568760.924804,1601568760.923808,16,40.5949615,-105.1400314,1601568760.925,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.826,1601568761.026,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.0,1601568761.025599,1601568761.023802,16,40.5949615,-105.1400314,1601568761.026,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.925,1601568761.126,0.20099997520446777,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.1,1601568761.125516,1601568761.122831,16,40.5949615,-105.1400314,1601568761.126,40.5949615,40.5949615,-105.1400314,-105.1400313,1601568761.026,1601568761.225,0.19899988174438477,0.008443347545243614,0.042428907350252044,4.71238898038469,3.141592653589793,-7.794063836670865e-18,-0.042428907350252044
1601568761.2,1601568761.2252991,1601568761.224334,16,40.5949615,-105.1400313,1601568761.225,40.5949615,40.5949615,-105.1400314,-105.1400313,1601568761.126,1601568761.326,0.20000004768371582,0.008443347545243614,0.04221672766096585,4.71238898038469,3.141592653589793,-7.755087060071602e-18,-0.04221672766096585
1601568761.3,1601568761.32561,1601568761.3235052,16,40.5949615,-105.1400313,1601568761.326,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.225,1601568761.426,0.20100021362304688,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.4,1601568761.426245,1601568761.424196,16,40.5949615,-105.1400313,1601568761.426,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.326,1601568761.526,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.5,1601568761.525918,1601568761.525208,16,40.5949615,-105.1400313,1601568761.526,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.426,1601568761.673,0.24699997901916504,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.7,1601568761.6994846,1601568761.6969934,16,40.5949615,-105.1400313,1601568761.6995,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.5995002,1601568761.776,0.17649996280670166,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.8,1601568761.8261788,1601568761.824372,16,40.5949615,-105.1400313,1601568761.826,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.726,1601568761.926,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.9,1601568761.9264169,1601568761.9243698,16,40.5949615,-105.1400313,1601568761.926,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.826,1601568762.026,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568762.0,1601568762.0261,1601568762.024096,16,40.5949615,-105.1400313,1601568762.026,40.5949615,40.594961600000005,-105.1400313,-105.1400313,1601568761.926,1601568762.125,0.19899988174438477,0.011119493584486821,0.055876885388152164,3.141592653589793,4.71238898038469,-0.055876885388152164,6.842944883692406e-18
1601568762.1,1601568762.125035,1601568762.124178,16,40.594961600000005,-105.1400313,1601568762.125,40.5949615,40.594961600000005,-105.1400313,-105.1400313,1601568762.026,1601568762.223,0.19700002670288086,0.011119493584486821,0.05644412221962513,3.141592653589793,4.71238898038469,-0.05644412221962513,6.912411360694591e-18
1601568762.2,1601568762.222775,1601568762.222331,16,40.594961600000005,-105.1400313,1601568762.223,40.594961600000005,40.594961600000005,-105.1400313,-105.1400313,1601568762.125,1601568762.324,0.19899988174438477,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568762.3,1601568762.323766,1601568762.323476,16,40.594961600000005,-105.1400313,1601568762.324,40.594961600000005,40.594961600000005,-105.1400313,-105.1400313,1601568762.223,1601568762.423,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568762.4,1601568762.423299,1601568762.421366,16,40.594961600000005,-105.1400313,1601568762.423,40.594961600000005,40.594961600000005,-105.1400313,-105.1400313,1601568762.324,1601568762.523,0.19900012016296387,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568762.5,1601568762.523034,1601568762.522199,16,40.594961600000005,-105.1400313,1601568762.523,40.594961600000005,40.594961600000005,-105.1400313,-105.1400313,1601568762.423,1601568762.67,0.24699997901916504,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568762.7,1601568762.6973271,1601568762.694392,16,40.594961600000005,-105.1400313,1601568762.6975,40.594961600000005,40.59496155,-105.1400313,-105.1400313,1601568762.5965,1601568762.774,0.1774998903274536,0.005559746792243411,0.03633824332068058,0.0,1.5707963267948966,0.03633824332068058,0.0
1601568762.8,1601568762.822783,1601568762.822783,16,40.5949615,-105.1400313,1601568762.823,40.594961600000005,40.5949615,-105.1400313,-105.1400313,1601568762.725,1601568762.924,0.19900012016296387,0.011119493584486821,0.05587681844302867,0.0,1.5707963267948966,0.05587681844302867,0.0
1601568762.9,1601568762.92361,1601568762.921564,16,40.5949615,-105.1400313,1601568762.924,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568762.823,1601568763.022,0.19900012016296387,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568763.0,1601568763.021661,1601568763.019867,16,40.5949615,-105.1400313,1601568763.022,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568762.924,1601568763.132,0.20799994468688965,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568763.1,1601568763.132355,1601568763.131391,16,40.5949615,-105.1400313,1601568763.132,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568763.022,1601568763.223,0.20099997520446777,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568763.2,1601568763.223116,1601568763.221121,16,40.5949615,-105.1400313,1601568763.223,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568763.132,1601568763.325,0.19300007820129395,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
