nearest10hz,nearest10hz_x,bearing_north,bearing_east,latitude,longitude,velocity_ms,nearest10hz_y,wind_up,wind_right,windSpeed
1601568972.9,1601568972.9,-0.11175292498338664,7.255334529556609,40.5949651,-105.1397666,7.2561951360212715,1601568972.9,7.353990791885082,-1.7528318324555285,7.56
1601568973.0,1601568973.0,-0.05371673382984716,6.97494677347541,40.5949651,-105.1397752,6.975153616968473,1601568973.0,7.331789286581903,-1.6263350998987982,7.51
1601568973.1,1601568973.1,-0.2235068091908972,7.297772105419978,40.5949652,-105.13978370000001,7.301193943212345,1601568973.1,7.294935184575769,-1.5120914829594463,7.45
1601568973.2,1601568973.2,-0.28365965594935433,7.452542814877395,40.5949655,-105.1397924,7.457939206509663,1601568973.2,7.320278426461311,-1.3842051000791493,7.45
1601568973.3,1601568973.3,-0.16847627781829663,7.334618001711545,40.5949657,-105.139801,7.336552697774247,1601568973.3,7.3297884369425494,-1.3329296566823399,7.45
1601568973.4,1601568973.4,-0.1146332153583958,7.4423318605553845,40.5949658,-105.1398096,7.443214648033548,1601568973.4,7.44949957414369,-1.287849406892347,7.56
1601568973.5,1601568973.5,-0.08967280504967165,5.787780711658936,40.5949659,-105.13981809999999,5.788475341419077,1601568973.5,7.599528909551753,-1.300484660765798,7.71
1601568973.6,,,,,,,1601568973.6,7.688823170612508,-1.3704372481263847,7.81
1601568973.7,1601568973.7,-0.19189477414611292,8.33334571265352,40.5949661,-105.13983089999999,8.335554851197687,1601568973.7,7.711736742899325,-1.5703555037686554,7.87
1601568973.8,1601568973.8,-0.11231741325320847,7.334626756775229,40.5949663,-105.13984380000001,7.335486682049324,1601568973.8,7.749478885176465,-1.6346183065792863,7.92
1601568973.9,1601568973.9,-0.05269834262477223,6.922745708651748,40.5949664,-105.1398524,6.9229462847816166,1601568973.9,7.732060073199556,-1.7151230347800908,7.92
1601568974.0,1601568974.0,-0.10795550509424688,7.049782163885547,40.5949664,-105.1398611,7.050608693532705,1601568974.0,7.872335739120526,-1.7751704173305964,8.07
1601568974.1,1601568974.1,-0.1701955174480176,7.366386123457191,40.5949666,-105.1398696,7.368351989015051,1601568974.1,7.9666385567621045,-1.8115104487447513,8.17
1601568974.2,1601568974.2,-0.1152272708334516,7.480899508090168,40.5949667,-105.13987820000001,7.481786870399841,1601568974.2,8.171411396042405,-1.85807314081775,8.38
1601568974.3,1601568974.3,-0.11522713389112722,7.4808902492926475,40.594966799999995,-105.1398867,7.481777610591387,1601568974.3,8.226658530375385,-1.8403775223040248,8.43
1601568974.4,1601568974.4,-0.17106846540180065,7.404168693588429,40.5949669,-105.1398953,7.406144642320315,1601568974.4,8.265713906892708,-1.8943002954654498,8.48
1601568974.5,1601568974.5,-0.08824943772765036,5.729417576757198,40.594967100000005,-105.1399038,5.730097183478965,1601568974.5,8.30090854666319,-1.9636235127778436,8.53
1601568974.6,,,,,,,1601568974.6,8.283511091707403,-2.035766193245288,8.53
1601568974.7,1601568974.7,-0.03681871248224538,8.174229999500813,40.594967100000005,-105.13991665,8.17437261014612,1601568974.7,8.265486661751746,-2.1077547875414675,8.53
1601568974.8,1601568974.8,-0.16847650026721114,7.249340300511383,40.5949672,-105.1399294,7.251297754454767,1601568974.8,8.236002916260661,-2.4405646812461033,8.59
1601568974.9,1601568974.9,-0.10955093821835091,7.070781089587431,40.5949674,-105.1399379,7.071629700778438,1601568974.9,8.100287242280185,-2.5091326374970437,8.48
1601568975.0,1601568975.0,6.983924017571305e-07,7.249340268020083,40.5949674,-105.13994640000001,7.249340268020116,1601568975.0,8.026274748463477,-2.4090067791887955,8.38
1601568975.1,1601568975.1,7.091369790668998e-07,7.360869398002875,40.5949674,-105.1399549,7.36086939800291,1601568975.1,7.8532093167327846,-2.2529987633333017,8.17
1601568975.2,1601568975.2,-0.05450664941196358,6.994733915191971,40.5949674,-105.13996340000001,6.9949462842231265,1601568975.2,7.735433114506311,-2.1174216705699402,8.02
1601568975.3,1601568975.3,-0.05504628840425848,7.022184927114386,40.5949675,-105.13997179999998,7.022400675300403,1601568975.3,7.732988446583045,-1.9291940506369845,7.97
1601568975.4,1601568975.4,6.928141356902191e-07,7.274270928756834,40.5949675,-105.13998020000001,7.2742709287568665,1601568975.4,7.746303237208859,-1.8750163085177545,7.97
1601568975.5,1601568975.5,5.609304973335792e-07,5.848057111801828,40.5949675,-105.1399886,5.848057111801855,1601568975.5,7.749479569992532,-1.861844889959513,7.97
1601568975.6,,,,,,,1601568975.6,7.850093345305902,-1.8710784243275287,8.07
1601568975.7,1601568975.7,0.09866752441199725,8.061014829580488,40.59496745,-105.1400013,8.061680270257881,1601568975.7,7.9339139061253805,-1.9498487454647133,8.17
1601568975.8,1601568975.8,0.11175430408951005,7.085618841105418,40.59496729999999,-105.1400139,7.086500080146096,1601568975.8,7.971116150440523,-2.04797639541726,8.23
1601568975.9,1601568975.9,0.05587747909374857,7.043189986821313,40.5949672,-105.1400222,7.043411636638162,1601568975.9,8.071688615755223,-2.0583349800961814,8.33
1601568976.0,1601568976.0,0.055877546027323796,7.08562733948562,40.5949672,-105.1400305,7.085847662363063,1601568976.0,8.175622763322075,-2.055259699368896,8.43
1601568976.1,1601568976.1,0.11119570045358486,7.050201748814097,40.594967100000005,-105.1400389,7.051078582938977,1601568976.1,8.234955927043234,-2.023833214386875,8.48
1601568976.2,1601568976.2,0.05504767000942429,6.896796940373374,40.594967,-105.14004720000001,6.897016621896528,1601568976.2,8.30090854666319,-1.9636235127778436,8.53
1601568976.3,1601568976.3,0.05504759103846779,6.854990086941399,40.594967,-105.1400554,6.855211107569481,1601568976.3,8.311007114882173,-1.920432434733876,8.53
1601568976.4,1601568976.4,0.05587745952259025,6.958332306370205,40.5949669,-105.1400636,6.9585566589888455,1601568976.4,8.379285963831878,-2.106458339566698,8.64
1601568976.5,1601568976.5,0.0455722329548695,5.675037731577762,40.5949669,-105.14007179999999,5.675220707888616,1601568976.5,8.441771011637709,-2.263647982145908,8.74
1601568976.6,,,,,,,1601568976.6,8.479957783827626,-2.4971816082338214,8.84
1601568976.7,1601568976.7,0.12836428907960637,7.992547688536171,40.59496675,-105.1400841,7.9935784192210075,1601568976.7,8.649182114044944,-2.828718571736155,9.1
1601568976.8,1601568976.8,0.10743532925746593,6.689414765591905,40.5949666,-105.1400964,6.6902774423854545,1601568976.8,8.750935716923724,-2.9972694370491073,9.25
1601568976.9,1601568976.9,0.10795693654196165,6.6809059244058915,40.5949665,-105.14010459999999,6.6817781069794036,1601568976.9,8.750935716923724,-2.9972694370491073,9.25
1601568977.0,1601568977.0,0.11231876535189163,6.908194944779864,40.5949664,-105.1401127,6.909107967033967,1601568977.0,8.693146335367171,-3.0115123761811624,9.2
1601568977.1,1601568977.1,0.1676310545707539,6.788616949204104,40.5949663,-105.1401208,6.790686287370205,1601568977.1,8.535589441398264,-3.0076922861041644,9.05
1601568977.2,1601568977.2,0.21486999397008333,6.485469238517245,40.5949661,-105.1401287,6.48902768972842,1601568977.2,8.285147047350083,-3.082521436062724,8.84
1601568977.3,1601568977.3,0.1676312607220102,6.788625106935364,40.5949659,-105.14013670000001,6.790694447704479,1601568977.3,8.218592047172422,-3.255817065216384,8.84
1601568977.4,1601568977.4,0.11463456262892145,6.920062930637843,40.5949658,-105.1401447,6.921012357086002,1601568977.4,7.9841451308701705,-3.002386805393691,8.53
1601568977.5,1601568977.5,0.135054936140577,5.435186521196347,40.5949657,-105.14015259999998,5.4368642024581035,1601568977.5,7.832132763655832,-2.8366523178685212,8.33
1601568977.6,,,,,,,1601568977.6,7.49194767520095,-3.258775848697034,8.17
1601568977.7,1601568977.7,0.19242324276657957,8.017292768383657,40.5949654,-105.14016455,8.019869658159772,1601568977.7,7.27121663253548,-3.500615471990518,8.07
1601568977.8,1601568977.8,0.10691867016379153,6.373098078389134,40.5949653,-105.1401764,6.373994879100302,1601568977.8,7.047476094906712,-3.8279865062090326,8.02
1601568977.9,1601568977.9,0.16763103495790543,6.661330480405193,40.5949651,-105.1401842,6.663439347143211,1601568977.9,6.872004856637166,-3.937251484266048,7.92
1601568978.0,1601568978.0,0.1117543562743944,6.6613384993020635,40.594965,-105.14019209999998,6.66227586027704,1601568978.0,6.651327325515464,-4.09340259550063,7.81
1601568978.1,1601568978.1,0.11231871718104483,6.609692836170278,40.5949649,-105.14019990000001,6.610647085025027,1601568978.1,6.580113148234104,-4.11335762564315,7.76
1601568978.2,1601568978.2,0.1123187064699853,6.567049656812403,40.5949648,-105.14020759999998,6.5680101010019,1601568978.2,6.410620017703851,-4.100737859046185,7.61
1601568978.3,1601568978.3,0.11009459410690467,6.395211940370854,40.594964700000006,-105.1402153,6.396159518172878,1601568978.3,6.3190860178248816,-4.058232607839288,7.51
1601568978.4,1601568978.4,0.11009446422284297,6.395204383915629,40.5949646,-105.14022290000001,6.3961519606014825,1601568978.4,6.142387207739232,-3.9447534004296676,7.3
1601568978.5,1601568978.5,0.0896737313991419,5.2430434566526225,40.5949645,-105.14023059999998,5.243810262247379,1601568978.5,6.056410204632581,-3.8003151755114137,7.15
1601568978.6,,,,,,,1601568978.6,5.910965600000051,-3.4418142999900567,6.84
1601568978.7,1601568978.7,0.22523895689122253,7.27898361881638,40.5949643,-105.1402421,7.282541030127354,1601568978.7,5.858772297381205,-3.2089230541473817,6.68
1601568978.8,1601568978.8,0.16679308829644893,6.33251682637996,40.594964000000004,-105.1402534,6.334713039332468,1601568978.8,5.83317990656965,-2.9351170636947503,6.53
1601568978.9,1601568978.9,0.1667928842844835,6.3325092904090345,40.5949639,-105.14026090000002,6.3347055006025865,1601568978.9,5.77769671880705,-2.5613708488788305,6.32
1601568979.0,1601568979.0,0.2257770255186137,6.471803731767293,40.59496370000001,-105.14026840000001,6.475740792200464,1601568979.0,5.753877517796451,-2.491143012794841,6.2700000000000005
1601568979.1,1601568979.1,0.16847775767116271,6.439120235034064,40.5949635,-105.140276,6.441323944349876,1601568979.1,5.791477808248845,-2.652486530891562,6.37
1601568979.2,1601568979.2,0.05450784385031199,6.16695512019423,40.5949634,-105.1402835,6.1671960046305525,1601568979.2,5.758687278885397,-2.7229434118254283,6.37
1601568979.3,1601568979.3,5.129845675317785e-07,6.144419435489163,40.5949634,-105.1402909,6.144419435489184,1601568979.3,5.7438509646619975,-2.8901688697637433,6.43
1601568979.4,1601568979.4,-0.05615848715422232,6.225896870656036,40.5949634,-105.1402982,6.226150144328682,1601568979.4,5.787737684404852,-3.1302543820782303,6.58
1601568979.5,1601568979.5,-0.0907709079335056,5.031543493722505,40.5949635,-105.1403055,5.032362197512053,1601568979.5,5.680642884465844,-3.3206469880382605,6.58
1601568979.6,,,,,,,1601568979.6,5.512861189207986,-3.40569545152298,6.48
1601568979.7,1601568979.7,-0.2021854574541515,7.103351888822042,40.594963650000004,-105.1403164,7.106516138943006,1601568979.7,5.404434602199596,-3.4838178239609037,6.43
1601568979.8,1601568979.8,-0.3386641917108304,6.21464598881065,40.594964000000004,-105.14032730000001,6.223866820633894,1601568979.8,5.311979266858702,-3.424219074250842,6.32
1601568979.9,1601568979.9,-0.39113767003302513,6.109762791518115,40.5949643,-105.1403345,6.122270007565666,1601568979.9,5.337547286334069,-3.0950749532358355,6.17
1601568980.0,1601568980.0,-0.44256643353916625,6.04896626256357,40.594964700000006,-105.14034170000001,6.065134614641942,1601568980.0,5.2958568318105685,-2.734136137240669,5.96
1601568980.1,1601568980.1,-0.5028908286032451,6.067326553385154,40.5949651,-105.1403489,6.08813195413058,1601568980.1,5.282336902029167,-2.419300901802194,5.8100000000000005
1601568980.2,1601568980.2,-0.5559740079124649,6.036992084529807,40.5949656,-105.14035600000001,6.062539115432559,1601568980.2,5.278030524162146,-2.016158174849549,5.65
1601568980.3,1601568980.3,-0.5559740074219937,6.036992039428474,40.5949661,-105.1403632,6.0625390704763005,1601568980.3,5.316448395736025,-1.759368197813028,5.6000000000000005
1601568980.4,1601568980.4,-0.627253138164807,6.191790257155149,40.5949666,-105.1403703,6.22348078553626,1601568980.4,5.332035942985239,-1.5400950304164736,5.55
1601568980.5,1601568980.5,-0.5602843585792089,4.6798417087589845,40.5949672,-105.14037749999999,4.713261819749538,1601568980.5,5.365619384405867,-1.4186714283751547,5.55
1601568980.6,,,,,,,1601568980.6,5.347821535126591,-1.2848364987173553,5.5
1601568980.7,1601568980.7,-1.0751590162078009,7.161698051096241,40.594968300000005,-105.14038815,7.242240743142421,1601568980.7,5.3610172745176765,-1.2286145784268836,5.5
1601568980.8,1601568980.8,-1.1346424160334028,6.160201517598263,40.5949696,-105.14039879999999,6.263824402845442,1601568980.8,5.426463634264274,-1.164470878127645,5.55
1601568980.9,1601568980.9,-1.1593781056763786,5.722269300763788,40.594970700000005,-105.140406,5.8385377914667504,1601568980.9,5.442233909261676,-1.0883887526441913,5.55
1601568981.0,1601568981.0,-1.2768783927000151,5.777023760047991,40.5949718,-105.1404131,5.916453494611717,1601568981.0,5.53840057417066,-1.1174162519070991,5.65
1601568981.1,1601568981.1,-1.4527966588401142,6.109754752474531,40.594973100000004,-105.1404203,6.280105195561784,1601568981.1,5.689070258038284,-1.179228391408642,5.8100000000000005
1601568981.2,1601568981.2,-1.5262044107288006,5.960009462392461,40.5949744,-105.14042749999999,6.152317668581143,1601568981.2,5.733831599385617,-1.2094524339084114,5.86
1601568981.3,1601568981.3,-1.7768255877999912,6.223703627407199,40.594975899999994,-105.1404347,6.472371745447129,1601568981.3,5.77845046459493,-1.2400041242764652,5.91
1601568981.4,1601568981.4,-1.9211685421556033,6.277252675485571,40.5949775,-105.1404418,6.564662193842045,1601568981.4,5.920754385661488,-1.2916143018216633,6.0600000000000005
1601568981.5,1601568981.5,-1.6338850032364198,4.893696716174944,40.594979200000004,-105.14044890000001,5.159248758656855,1601568981.5,6.034983601862969,-1.2836950281297619,6.17
1601568981.6,,,,,,,1601568981.6,6.1995034397378825,-1.2282333250153115,6.32
1601568981.7,1601568981.7,-2.594770150151426,6.971597550400042,40.594982099999996,-105.14045955,7.439060147455011,1601568981.7,6.383288038523162,-1.1153626393452165,6.48
1601568981.8,1601568981.8,-2.3670185860287085,5.935416816463246,40.5949852,-105.14047020000001,6.3899882450408345,1601568981.8,6.4933300835392584,-1.0644549902199,6.58
1601568981.9,1601568981.9,-2.5574822161243675,5.994773557627012,40.5949874,-105.1404773,6.517516804199006,1601568981.9,6.5620571604194575,-0.9467342939746727,6.63
1601568982.0,1601568982.0,-2.566036995604822,5.683022032099993,40.5949898,-105.1404844,6.23548596984602,1601568982.0,6.62119580662105,-0.8844015436349122,6.68
1601568982.1,1601568982.1,-2.7004472911007364,5.548482506427059,40.5949922,-105.1404913,6.170743366575895,1601568982.1,6.73333262271768,-0.8754037878864019,6.79
