nearestMS,timestamp,deviceTimestamp,name,channel,deviceID,sequenceID,windSpeed,windAngle,windReference,nearestMS,timestamp,deviceTimestamp,name,channel,deviceID,latitude,longitude,locDevice,nearestMS,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_south
1601568758.673,,,,,,,,,,,1601568758.67256,1601568758.6686,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.673,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.527,1601568758.727,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.693,1601568758.692513,1601568758.691957,Actisense,WindData,35.0,201.0,3.96,4.1398,250.0,1601568758.693,,,,,,,,,,,,,,,,,,,,,,
1601568758.727,,,,,,,,,,,1601568758.72653,1601568758.724432,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.727,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.673,1601568758.823,0.14999985694885254,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.79,1601568758.790462,1601568758.790462,Actisense,WindData,35.0,202.0,4.0600000000000005,4.1241,250.0,1601568758.79,,,,,,,,,,,,,,,,,,,,,,
1601568758.823,,,,,,,,,,,1601568758.82329,1601568758.822294,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.823,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.727,1601568758.922,0.19499993324279785,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.889,1601568758.888901,1601568758.888124,Actisense,WindData,35.0,203.0,4.0600000000000005,4.1293000000000015,250.0,1601568758.889,,,,,,,,,,,,,,,,,,,,,,
1601568758.922,,,,,,,,,,,1601568758.92206,1601568758.921075,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.922,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.823,1601568759.02,0.19700002670288086,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.987,1601568758.98723,1601568758.986848,Actisense,WindData,35.0,204.0,4.0600000000000005,4.1607,250.0,1601568758.987,,,,,,,,,,,,,,,,,,,,,,
1601568759.02,,,,,,,,,,,1601568759.0197608,1601568759.019071,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.02,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.922,1601568759.131,0.2090001106262207,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.086,1601568759.086277,1601568759.085014,Actisense,WindData,35.0,205.0,4.01,4.1974,250.0,1601568759.086,,,,,,,,,,,,,,,,,,,,,,
1601568759.131,,,,,,,,,,,1601568759.130707,1601568759.128724,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.131,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.02,1601568759.219,0.19900012016296387,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.196,1601568759.196003,1601568759.196003,Actisense,WindData,35.0,206.0,3.96,4.2183,250.0,1601568759.196,,,,,,,,,,,,,,,,,,,,,,
1601568759.219,,,,,,,,,,,1601568759.218966,1601568759.218134,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.219,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.131,1601568759.328,0.19700002670288086,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.3,1601568759.2996962,1601568759.29471,Actisense,WindData,35.0,207.0,3.96,4.2375,250.0,1601568759.3,,,,,,,,,,,,,,,,,,,,,,
1601568759.328,,,,,,,,,,,1601568759.327683,1601568759.3270311,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.328,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.219,1601568759.428,0.2089998722076416,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.405,1601568759.40518,1601568759.404285,Actisense,WindData,35.0,208.0,3.9,4.2602,250.0,1601568759.405,,,,,,,,,,,,,,,,,,,,,,
1601568759.428,,,,,,,,,,,1601568759.42821,1601568759.427119,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.428,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.328,1601568759.525,0.19700002670288086,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.492,1601568759.492458,1601568759.492458,Actisense,WindData,35.0,209.0,3.9,4.2707000000000015,250.0,1601568759.492,,,,,,,,,,,,,,,,,,,,,,
1601568759.525,,,,,,,,,,,1601568759.5251288,1601568759.524374,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.525,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.428,1601568759.671,0.24300003051757812,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.591,1601568759.5910509,1601568759.590266,Actisense,WindData,35.0,210.0,3.8,4.3161000000000005,250.0,1601568759.591,,,,,,,,,,,,,,,,,,,,,,
1601568759.671,,,,,,,,,,,1601568759.6711,1601568759.667325,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.671,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.525,1601568759.724,0.19899988174438477,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.702,1601568759.702004,1601568759.701212,Actisense,WindData,35.0,211.0,3.75,4.3423,250.0,1601568759.702,,,,,,,,,,,,,,,,,,,,,,
1601568759.724,,,,,,,,,,,1601568759.724093,1601568759.7229118,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.724,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.671,1601568759.823,0.15199995040893555,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.788,1601568759.787932,1601568759.787932,Actisense,WindData,35.0,212.0,3.7,4.3719,250.0,1601568759.788,,,,,,,,,,,,,,,,,,,,,,
1601568759.823,,,,,,,,,,,1601568759.822647,1601568759.8206449,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.823,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.724,1601568759.922,0.1979999542236328,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.889,1601568759.8891509,1601568759.8881571,Actisense,WindData,35.0,213.0,3.7,4.3789,250.0,1601568759.889,,,,,,,,,,,,,,,,,,,,,,
1601568759.922,,,,,,,,,,,1601568759.9218938,1601568759.92089,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568759.922,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.823,1601568760.022,0.19900012016296387,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.987,1601568759.986773,1601568759.986186,Actisense,WindData,35.0,214.0,3.8,4.3719,250.0,1601568759.987,,,,,,,,,,,,,,,,,,,,,,
1601568760.022,,,,,,,,,,,1601568760.021801,1601568760.019651,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.022,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.922,1601568760.124,0.20200014114379883,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.09,1601568760.090497,1601568760.0896802,Actisense,WindData,35.0,215.0,3.7,4.3929,250.0,1601568760.09,,,,,,,,,,,,,,,,,,,,,,
